index,cond,elev,hum,lat,lng,loc,pres,temp,time
30,Clear,5.4858880043,0.34,35.7090259,139.7319925,"Tokyo,Japan",1008.4,38.57,1420664400
31,Clear,5.4858880043,0.33,35.7090259,139.7319925,"Tokyo,Japan",1009.2,40.19,1420668000
32,Clear,5.4858880043,0.31,35.7090259,139.7319925,"Tokyo,Japan",1010.0,42.28,1420671600
33,Clear,5.4858880043,0.26,35.7090259,139.7319925,"Tokyo,Japan",1010.5,43.76,1420675200
34,Clear,5.4858880043,0.25,35.7090259,139.7319925,"Tokyo,Japan",1010.3,46.19,1420678800
35,Clear,5.4858880043,0.24,35.7090259,139.7319925,"Tokyo,Japan",1009.3,47.19,1420682400
36,Clear,5.4858880043,0.21,35.7090259,139.7319925,"Tokyo,Japan",1008.3,49.61,1420686000
37,Clear,5.4858880043,0.2,35.7090259,139.7319925,"Tokyo,Japan",1007.6,49.76,1420689600
38,Clear,5.4858880043,0.21,35.7090259,139.7319925,"Tokyo,Japan",1008.2,49.98,1420693200
39,Clear,5.4858880043,0.22,35.7090259,139.7319925,"Tokyo,Japan",1008.7,50.68,1420696800
40,Clear,5.4858880043,0.3,35.7090259,139.7319925,"Tokyo,Japan",1009.3,47.19,1420700400
41,Clear,5.4858880043,0.33,35.7090259,139.7319925,"Tokyo,Japan",1009.8,45.19,1420704000
42,Clear,5.4858880043,0.33,35.7090259,139.7319925,"Tokyo,Japan",1010.1,44.19,1420707600
43,Clear,5.4858880043,0.36,35.7090259,139.7319925,"Tokyo,Japan",1010.2,43.38,1420711200
44,Clear,5.4858880043,0.38,35.7090259,139.7319925,"Tokyo,Japan",1010.3,42.19,1420714800
45,Clear,5.4858880043,0.41,35.7090259,139.7319925,"Tokyo,Japan",1010.1,40.57,1420718400
46,Clear,5.4858880043,0.38,35.7090259,139.7319925,"Tokyo,Japan",1010.1,41.38,1420722000
47,Clear,5.4858880043,0.37,35.7090259,139.7319925,"Tokyo,Japan",1010.3,40.57,1420725600
48,Clear,5.4858880043,0.53,35.7090259,139.7319925,"Tokyo,Japan",1022.0,46.38,1421247600
49,Clear,5.4858880043,0.52,35.7090259,139.7319925,"Tokyo,Japan",1021.5,46.38,1421251200
50,Clear,5.4858880043,0.54,35.7090259,139.7319925,"Tokyo,Japan",1021.0,45.57,1421254800
51,Overcast,5.4858880043,0.55,35.7090259,139.7319925,"Tokyo,Japan",1020.5,44.38,1421258400
52,Clear,5.4858880043,0.49,35.7090259,139.7319925,"Tokyo,Japan",1019.8,45.19,1421262000
53,Clear,5.4858880043,0.49,35.7090259,139.7319925,"Tokyo,Japan",1019.7,44.38,1421265600
54,Overcast,5.4858880043,0.51,35.7090259,139.7319925,"Tokyo,Japan",1018.9,43.57,1421269200
55,Clear,5.4858880043,0.53,35.7090259,139.7319925,"Tokyo,Japan",1017.7,43.57,1421272800
56,Clear,5.4858880043,0.48,35.7090259,139.7319925,"Tokyo,Japan",1017.9,44.51,1421276400
57,Overcast,5.4858880043,0.51,35.7090259,139.7319925,"Tokyo,Japan",1017.5,44.65,1421280000
58,Clear,5.4858880043,0.65,35.7090259,139.7319925,"Tokyo,Japan",1017.5,42.69,1421283600
59,Clear,5.4858880043,0.73,35.7090259,139.7319925,"Tokyo,Japan",1015.9,42.37,1421287200
60,Overcast,5.4858880043,0.82,35.7090259,139.7319925,"Tokyo,Japan",1013.6,41.2,1421290800
61,Clear,5.4858880043,0.86,35.7090259,139.7319925,"Tokyo,Japan",1010.9,41.37,1421294400
62,Foggy,5.4858880043,0.86,35.7090259,139.7319925,"Tokyo,Japan",1009.5,39.83,1421298000
63,Foggy,5.4858880043,0.91,35.7090259,139.7319925,"Tokyo,Japan",1008.1,39.37,1421301600
64,Clear,5.4858880043,0.92,35.7090259,139.7319925,"Tokyo,Japan",1005.7,39.9,1421305200
65,Clear,5.4858880043,0.94,35.7090259,139.7319925,"Tokyo,Japan",1004.3,38.57,1421308800
66,Overcast,5.4858880043,0.95,35.7090259,139.7319925,"Tokyo,Japan",1004.6,38.19,1421312400
67,Clear,5.4858880043,0.91,35.7090259,139.7319925,"Tokyo,Japan",1005.6,39.38,1421316000
68,Clear,5.4858880043,0.91,35.7090259,139.7319925,"Tokyo,Japan",1006.2,40.57,1421319600
69,Overcast,5.4858880043,0.9,35.7090259,139.7319925,"Tokyo,Japan",1006.6,41.76,1421323200
70,Clear,5.4858880043,0.9,35.7090259,139.7319925,"Tokyo,Japan",1007.3,41.76,1421326800
71,Clear,5.4858880043,0.91,35.7090259,139.7319925,"Tokyo,Japan",1007.6,41.95,1421330400
72,Clear,5.4858880043,0.84,35.7090259,139.7319925,"Tokyo,Japan",1022.2,38.57,1421852400
73,Clear,5.4858880043,0.84,35.7090259,139.7319925,"Tokyo,Japan",1021.3,38.57,1421856000
74,Clear,5.4858880043,0.82,35.7090259,139.7319925,"Tokyo,Japan",1020.9,39.38,1421859600
75,Overcast,5.4858880043,0.85,35.7090259,139.7319925,"Tokyo,Japan",1020.7,39.38,1421863200
76,Clear,5.4858880043,0.85,35.7090259,139.7319925,"Tokyo,Japan",1019.9,39.38,1421866800
77,Clear,5.4858880043,0.83,35.7090259,139.7319925,"Tokyo,Japan",1018.9,39.38,1421870400
78,Overcast,5.4858880043,0.8,35.7090259,139.7319925,"Tokyo,Japan",1019.4,40.19,1421874000
79,Clear,5.4858880043,0.85,35.7090259,139.7319925,"Tokyo,Japan",1018.7,40.19,1421877600
80,Clear,5.4858880043,0.84,35.7090259,139.7319925,"Tokyo,Japan",1017.5,40.45,1421881200
81,Overcast,5.4858880043,0.85,35.7090259,139.7319925,"Tokyo,Japan",1016.9,40.69,1421884800
82,Clear,5.4858880043,0.83,35.7090259,139.7319925,"Tokyo,Japan",1016.5,40.69,1421888400
83,Clear,5.4858880043,0.89,35.7090259,139.7319925,"Tokyo,Japan",1015.0,39.83,1421892000
84,Overcast,5.4858880043,0.87,35.7090259,139.7319925,"Tokyo,Japan",1012.9,40.83,1421895600
85,Clear,5.4858880043,0.9,35.7090259,139.7319925,"Tokyo,Japan",1011.8,40.83,1421899200
86,Clear,5.4858880043,0.9,35.7090259,139.7319925,"Tokyo,Japan",1011.3,41.15,1421902800
87,Overcast,5.4858880043,0.88,35.7090259,139.7319925,"Tokyo,Japan",1009.6,41.83,1421906400
88,Clear,5.4858880043,0.91,35.7090259,139.7319925,"Tokyo,Japan",1008.3,41.9,1421910000
89,Clear,5.4858880043,0.94,35.7090259,139.7319925,"Tokyo,Japan",1007.0,41.76,1421913600
90,Overcast,5.4858880043,0.95,35.7090259,139.7319925,"Tokyo,Japan",1005.8,41.38,1421917200
91,Clear,5.4858880043,0.95,35.7090259,139.7319925,"Tokyo,Japan",1004.9,40.19,1421920800
92,Clear,5.4858880043,0.95,35.7090259,139.7319925,"Tokyo,Japan",1003.9,40.57,1421924400
93,Overcast,5.4858880043,0.95,35.7090259,139.7319925,"Tokyo,Japan",1002.8,41.38,1421928000
94,Clear,5.4858880043,0.95,35.7090259,139.7319925,"Tokyo,Japan",1002.4,41.38,1421931600
95,Clear,5.4858880043,0.95,35.7090259,139.7319925,"Tokyo,Japan",1001.6,41.38,1421935200
96,Clear,5.4858880043,0.41,35.7090259,139.7319925,"Tokyo,Japan",1024.3,35.38,1422457200
97,Clear,5.4858880043,0.42,35.7090259,139.7319925,"Tokyo,Japan",1024.3,34.57,1422460800
98,Clear,5.4858880043,0.43,35.7090259,139.7319925,"Tokyo,Japan",1024.4,35.38,1422464400
99,Partly Cloudy,5.4858880043,0.42,35.7090259,139.7319925,"Tokyo,Japan",1024.8,34.57,1422468000
100,Clear,5.4858880043,0.44,35.7090259,139.7319925,"Tokyo,Japan",1025.0,33.57,1422471600
101,Clear,5.4858880043,0.47,35.7090259,139.7319925,"Tokyo,Japan",1025.8,32.76,1422475200
102,Partly Cloudy,5.4858880043,0.49,35.7090259,139.7319925,"Tokyo,Japan",1026.4,32.38,1422478800
103,Clear,5.4858880043,0.48,35.7090259,139.7319925,"Tokyo,Japan",1027.8,32.76,1422482400
104,Clear,5.4858880043,0.39,35.7090259,139.7319925,"Tokyo,Japan",1028.5,35.34,1422486000
105,Partly Cloudy,5.4858880043,0.33,35.7090259,139.7319925,"Tokyo,Japan",1028.6,37.3,1422489600
106,Clear,5.4858880043,0.3,35.7090259,139.7319925,"Tokyo,Japan",1028.2,40.53,1422493200
107,Clear,5.4858880043,0.28,35.7090259,139.7319925,"Tokyo,Japan",1027.6,41.78,1422496800
108,Partly Cloudy,5.4858880043,0.27,35.7090259,139.7319925,"Tokyo,Japan",1026.4,43.15,1422500400
109,Clear,5.4858880043,0.25,35.7090259,139.7319925,"Tokyo,Japan",1026.0,44.48,1422504000
110,Clear,5.4858880043,0.27,35.7090259,139.7319925,"Tokyo,Japan",1025.4,44.17,1422507600
111,Mostly Cloudy,5.4858880043,0.27,35.7090259,139.7319925,"Tokyo,Japan",1025.6,44.74,1422511200
112,Clear,5.4858880043,0.31,35.7090259,139.7319925,"Tokyo,Japan",1026.1,43.0,1422514800
113,Clear,5.4858880043,0.42,35.7090259,139.7319925,"Tokyo,Japan",1026.8,43.0,1422518400
114,Mostly Cloudy,5.4858880043,0.49,35.7090259,139.7319925,"Tokyo,Japan",1026.7,41.38,1422522000
115,Clear,5.4858880043,0.58,35.7090259,139.7319925,"Tokyo,Japan",1026.3,42.19,1422525600
116,Clear,5.4858880043,0.53,35.7090259,139.7319925,"Tokyo,Japan",1027.6,42.19,1422529200
117,Mostly Cloudy,5.4858880043,0.58,35.7090259,139.7319925,"Tokyo,Japan",1027.4,40.57,1422532800
118,Clear,5.4858880043,0.55,35.7090259,139.7319925,"Tokyo,Japan",1026.7,41.38,1422536400
119,Clear,5.4858880043,0.59,35.7090259,139.7319925,"Tokyo,Japan",1026.6,40.19,1422540000
120,Clear,5.4858880043,0.61,35.7090259,139.7319925,"Tokyo,Japan",1018.4,41.38,1423062000
121,Clear,5.4858880043,0.63,35.7090259,139.7319925,"Tokyo,Japan",1017.8,40.57,1423065600
122,Clear,5.4858880043,0.68,35.7090259,139.7319925,"Tokyo,Japan",1017.6,39.38,1423069200
123,Mostly Cloudy,5.4858880043,0.68,35.7090259,139.7319925,"Tokyo,Japan",1017.2,40.19,1423072800
124,Clear,5.4858880043,0.7,35.7090259,139.7319925,"Tokyo,Japan",1016.0,39.38,1423076400
125,Clear,5.4858880043,0.74,35.7090259,139.7319925,"Tokyo,Japan",1016.3,38.19,1423080000
126,Overcast,5.4858880043,0.75,35.7090259,139.7319925,"Tokyo,Japan",1016.5,38.19,1423083600
127,Clear,5.4858880043,0.77,35.7090259,139.7319925,"Tokyo,Japan",1016.5,38.19,1423087200
128,Clear,5.4858880043,0.84,35.7090259,139.7319925,"Tokyo,Japan",1016.1,36.87,1423090800
129,Overcast,5.4858880043,0.86,35.7090259,139.7319925,"Tokyo,Japan",1016.3,36.35,1423094400
130,Foggy,5.4858880043,0.88,35.7090259,139.7319925,"Tokyo,Japan",1016.1,35.61,1423098000
131,Foggy,5.4858880043,0.89,35.7090259,139.7319925,"Tokyo,Japan",1015.0,35.29,1423101600
132,Foggy,5.4858880043,0.89,35.7090259,139.7319925,"Tokyo,Japan",1013.7,35.61,1423105200
133,Clear,5.4858880043,0.89,35.7090259,139.7319925,"Tokyo,Japan",1012.0,35.93,1423108800
134,Clear,5.4858880043,0.9,35.7090259,139.7319925,"Tokyo,Japan",1011.4,36.04,1423112400
135,Overcast,5.4858880043,0.86,35.7090259,139.7319925,"Tokyo,Japan",1011.0,36.46,1423116000
136,Clear,5.4858880043,0.93,35.7090259,139.7319925,"Tokyo,Japan",1011.2,35.32,1423119600
137,Clear,5.4858880043,0.96,35.7090259,139.7319925,"Tokyo,Japan",1011.5,35.38,1423123200
138,Overcast,5.4858880043,0.96,35.7090259,139.7319925,"Tokyo,Japan",1011.3,35.38,1423126800
139,Clear,5.4858880043,0.96,35.7090259,139.7319925,"Tokyo,Japan",1011.8,36.19,1423130400
140,Clear,5.4858880043,0.96,35.7090259,139.7319925,"Tokyo,Japan",1012.2,36.19,1423134000
141,Mostly Cloudy,5.4858880043,0.95,35.7090259,139.7319925,"Tokyo,Japan",1012.0,36.19,1423137600
142,Clear,5.4858880043,0.91,35.7090259,139.7319925,"Tokyo,Japan",1012.2,36.19,1423141200
143,Clear,5.4858880043,0.88,35.7090259,139.7319925,"Tokyo,Japan",1012.3,37.38,1423144800
144,Clear,5.4858880043,0.64,35.7090259,139.7319925,"Tokyo,Japan",1009.8,41.76,1423666800
145,Clear,5.4858880043,0.6,35.7090259,139.7319925,"Tokyo,Japan",1009.6,41.0,1423670400
146,Clear,5.4858880043,0.58,35.7090259,139.7319925,"Tokyo,Japan",1009.2,39.76,1423674000
147,Mostly Cloudy,5.4858880043,0.58,35.7090259,139.7319925,"Tokyo,Japan",1008.6,39.76,1423677600
148,Clear,5.4858880043,0.61,35.7090259,139.7319925,"Tokyo,Japan",1007.9,37.38,1423681200
149,Clear,5.4858880043,0.63,35.7090259,139.7319925,"Tokyo,Japan",1007.6,36.95,1423684800
150,Mostly Cloudy,5.4858880043,0.66,35.7090259,139.7319925,"Tokyo,Japan",1007.6,36.95,1423688400
151,Clear,5.4858880043,0.64,35.7090259,139.7319925,"Tokyo,Japan",1007.6,36.57,1423692000
152,Clear,5.4858880043,0.56,35.7090259,139.7319925,"Tokyo,Japan",1007.7,40.59,1423695600
153,Clear,5.4858880043,0.46,35.7090259,139.7319925,"Tokyo,Japan",1007.3,43.54,1423699200
154,Clear,5.4858880043,0.41,35.7090259,139.7319925,"Tokyo,Japan",1006.1,46.21,1423702800
155,Clear,5.4858880043,0.39,35.7090259,139.7319925,"Tokyo,Japan",1005.4,48.49,1423706400
156,Clear,5.4858880043,0.37,35.7090259,139.7319925,"Tokyo,Japan",1004.0,51.34,1423710000
157,Clear,5.4858880043,0.35,35.7090259,139.7319925,"Tokyo,Japan",1002.9,53.27,1423713600
158,Clear,5.4858880043,0.32,35.7090259,139.7319925,"Tokyo,Japan",1001.9,53.63,1423717200
159,Clear,5.4858880043,0.35,35.7090259,139.7319925,"Tokyo,Japan",1001.6,53.61,1423720800
160,Clear,5.4858880043,0.43,35.7090259,139.7319925,"Tokyo,Japan",1001.3,52.68,1423724400
161,Clear,5.4858880043,0.44,35.7090259,139.7319925,"Tokyo,Japan",1001.3,51.57,1423728000
162,Partly Cloudy,5.4858880043,0.46,35.7090259,139.7319925,"Tokyo,Japan",1001.4,49.95,1423731600
163,Clear,5.4858880043,0.49,35.7090259,139.7319925,"Tokyo,Japan",1001.3,48.76,1423735200
164,Clear,5.4858880043,0.54,35.7090259,139.7319925,"Tokyo,Japan",1001.5,46.33,1423738800
165,Partly Cloudy,5.4858880043,0.68,35.7090259,139.7319925,"Tokyo,Japan",1001.8,44.38,1423742400
166,Clear,5.4858880043,0.77,35.7090259,139.7319925,"Tokyo,Japan",1002.0,42.57,1423746000
167,Clear,5.4858880043,0.8,35.7090259,139.7319925,"Tokyo,Japan",1001.9,41.76,1423749600
168,Clear,5.4858880043,0.89,35.7090259,139.7319925,"Tokyo,Japan",1009.5,39.0,1424271600
169,Clear,5.4858880043,0.91,35.7090259,139.7319925,"Tokyo,Japan",1009.5,38.19,1424275200
170,Clear,5.4858880043,0.95,35.7090259,139.7319925,"Tokyo,Japan",1009.3,37.38,1424278800
171,Mostly Cloudy,5.4858880043,0.91,35.7090259,139.7319925,"Tokyo,Japan",1009.1,36.19,1424282400
172,Clear,5.4858880043,0.91,35.7090259,139.7319925,"Tokyo,Japan",1009.1,36.19,1424286000
173,Clear,5.4858880043,0.9,35.7090259,139.7319925,"Tokyo,Japan",1009.3,35.38,1424289600
174,Partly Cloudy,5.4858880043,0.91,35.7090259,139.7319925,"Tokyo,Japan",1009.6,35.19,1424293200
175,Clear,5.4858880043,0.9,35.7090259,139.7319925,"Tokyo,Japan",1010.1,35.76,1424296800
176,Clear,5.4858880043,0.78,35.7090259,139.7319925,"Tokyo,Japan",1010.6,39.09,1424300400
177,Partly Cloudy,5.4858880043,0.7,35.7090259,139.7319925,"Tokyo,Japan",1010.7,41.22,1424304000
178,Clear,5.4858880043,0.61,35.7090259,139.7319925,"Tokyo,Japan",1010.7,45.07,1424307600
179,Clear,5.4858880043,0.49,35.7090259,139.7319925,"Tokyo,Japan",1010.3,48.32,1424311200
180,Partly Cloudy,5.4858880043,0.42,35.7090259,139.7319925,"Tokyo,Japan",1009.7,50.83,1424314800
181,Clear,5.4858880043,0.38,35.7090259,139.7319925,"Tokyo,Japan",1009.2,53.53,1424318400
182,Clear,5.4858880043,0.36,35.7090259,139.7319925,"Tokyo,Japan",1009.1,53.85,1424322000
183,Partly Cloudy,5.4858880043,0.35,35.7090259,139.7319925,"Tokyo,Japan",1009.5,53.61,1424325600
184,Clear,5.4858880043,0.37,35.7090259,139.7319925,"Tokyo,Japan",1009.7,53.32,1424329200
185,Clear,5.4858880043,0.59,35.7090259,139.7319925,"Tokyo,Japan",1010.8,49.62,1424332800
186,Partly Cloudy,5.4858880043,0.69,35.7090259,139.7319925,"Tokyo,Japan",1012.4,45.81,1424336400
187,Clear,5.4858880043,0.71,35.7090259,139.7319925,"Tokyo,Japan",1013.2,44.19,1424340000
188,Clear,5.4858880043,0.77,35.7090259,139.7319925,"Tokyo,Japan",1014.3,42.19,1424343600
189,Mostly Cloudy,5.4858880043,0.78,35.7090259,139.7319925,"Tokyo,Japan",1015.3,41.38,1424347200
190,Clear,5.4858880043,0.78,35.7090259,139.7319925,"Tokyo,Japan",1015.6,41.38,1424350800
191,Clear,5.4858880043,0.81,35.7090259,139.7319925,"Tokyo,Japan",1016.0,40.57,1424354400
192,Clear,5.4858880043,0.71,35.7090259,139.7319925,"Tokyo,Japan",1022.2,46.0,1424876400
193,Clear,5.4858880043,0.66,35.7090259,139.7319925,"Tokyo,Japan",1022.4,46.0,1424880000
194,Clear,5.4858880043,0.7,35.7090259,139.7319925,"Tokyo,Japan",1022.0,46.0,1424883600
195,Overcast,5.4858880043,0.73,35.7090259,139.7319925,"Tokyo,Japan",1021.6,45.19,1424887200
196,Clear,5.4858880043,0.74,35.7090259,139.7319925,"Tokyo,Japan",1021.9,45.19,1424890800
197,Clear,5.4858880043,0.76,35.7090259,139.7319925,"Tokyo,Japan",1022.1,45.19,1424894400
198,Overcast,5.4858880043,0.74,35.7090259,139.7319925,"Tokyo,Japan",1022.2,45.19,1424898000
199,Clear,5.4858880043,0.71,35.7090259,139.7319925,"Tokyo,Japan",1022.6,45.19,1424901600
200,Clear,5.4858880043,0.74,35.7090259,139.7319925,"Tokyo,Japan",1022.7,44.45,1424905200
201,Overcast,5.4858880043,0.71,35.7090259,139.7319925,"Tokyo,Japan",1022.3,44.68,1424908800
202,Clear,5.4858880043,0.76,35.7090259,139.7319925,"Tokyo,Japan",1021.9,44.54,1424912400
203,Clear,5.4858880043,0.78,35.7090259,139.7319925,"Tokyo,Japan",1021.0,44.76,1424916000
204,Overcast,5.4858880043,0.83,35.7090259,139.7319925,"Tokyo,Japan",1020.1,43.68,1424919600
205,Clear,5.4858880043,0.84,35.7090259,139.7319925,"Tokyo,Japan",1018.5,44.54,1424923200
206,Clear,5.4858880043,0.86,35.7090259,139.7319925,"Tokyo,Japan",1017.2,44.54,1424926800
207,Overcast,5.4858880043,0.85,35.7090259,139.7319925,"Tokyo,Japan",1016.3,44.54,1424930400
208,Clear,5.4858880043,0.9,35.7090259,139.7319925,"Tokyo,Japan",1016.3,43.64,1424934000
209,Clear,5.4858880043,0.95,35.7090259,139.7319925,"Tokyo,Japan",1015.1,43.38,1424937600
210,Overcast,5.4858880043,0.95,35.7090259,139.7319925,"Tokyo,Japan",1013.8,43.38,1424941200
211,Clear,5.4858880043,0.95,35.7090259,139.7319925,"Tokyo,Japan",1013.7,43.38,1424944800
212,Clear,5.4858880043,0.94,35.7090259,139.7319925,"Tokyo,Japan",1011.9,43.38,1424948400
213,Overcast,5.4858880043,0.95,35.7090259,139.7319925,"Tokyo,Japan",1010.3,43.38,1424952000
214,Clear,5.4858880043,0.95,35.7090259,139.7319925,"Tokyo,Japan",1009.1,43.0,1424955600
215,Clear,5.4858880043,0.9,35.7090259,139.7319925,"Tokyo,Japan",1008.0,43.0,1424959200
216,Clear,5.4858880043,0.4,35.7090259,139.7319925,"Tokyo,Japan",1008.0,51.19,1425481200
217,Clear,5.4858880043,0.57,35.7090259,139.7319925,"Tokyo,Japan",1008.5,49.19,1425484800
218,Clear,5.4858880043,0.71,35.7090259,139.7319925,"Tokyo,Japan",1009.2,48.0,1425488400
219,Mostly Cloudy,5.4858880043,0.67,35.7090259,139.7319925,"Tokyo,Japan",1009.9,46.0,1425492000
220,Clear,5.4858880043,0.48,35.7090259,139.7319925,"Tokyo,Japan",1010.9,44.76,1425495600
221,Clear,5.4858880043,0.46,35.7090259,139.7319925,"Tokyo,Japan",1011.9,43.57,1425499200
222,Mostly Cloudy,5.4858880043,0.45,35.7090259,139.7319925,"Tokyo,Japan",1012.9,42.57,1425502800
223,Clear,5.4858880043,0.41,35.7090259,139.7319925,"Tokyo,Japan",1013.5,43.57,1425506400
224,Clear,5.4858880043,0.33,35.7090259,139.7319925,"Tokyo,Japan",1014.8,47.19,1425510000
225,Partly Cloudy,5.4858880043,0.3,35.7090259,139.7319925,"Tokyo,Japan",1015.3,47.52,1425513600
226,Clear,5.4858880043,0.28,35.7090259,139.7319925,"Tokyo,Japan",1015.5,49.3,1425517200
227,Clear,5.4858880043,0.26,35.7090259,139.7319925,"Tokyo,Japan",1015.6,51.47,1425520800
228,Mostly Cloudy,5.4858880043,0.26,35.7090259,139.7319925,"Tokyo,Japan",1015.3,53.15,1425524400
229,Clear,5.4858880043,0.24,35.7090259,139.7319925,"Tokyo,Japan",1014.8,54.89,1425528000
230,Clear,5.4858880043,0.23,35.7090259,139.7319925,"Tokyo,Japan",1014.6,55.32,1425531600
231,Mostly Cloudy,5.4858880043,0.23,35.7090259,139.7319925,"Tokyo,Japan",1015.2,55.78,1425535200
232,Clear,5.4858880043,0.23,35.7090259,139.7319925,"Tokyo,Japan",1015.8,54.19,1425538800
233,Clear,5.4858880043,0.27,35.7090259,139.7319925,"Tokyo,Japan",1016.7,51.19,1425542400
234,Mostly Cloudy,5.4858880043,0.26,35.7090259,139.7319925,"Tokyo,Japan",1018.1,50.38,1425546000
235,Clear,5.4858880043,0.25,35.7090259,139.7319925,"Tokyo,Japan",1019.0,48.81,1425549600
236,Clear,5.4858880043,0.35,35.7090259,139.7319925,"Tokyo,Japan",1020.0,48.0,1425553200
237,Mostly Cloudy,5.4858880043,0.38,35.7090259,139.7319925,"Tokyo,Japan",1020.8,47.19,1425556800
238,Clear,5.4858880043,0.33,35.7090259,139.7319925,"Tokyo,Japan",1021.4,47.19,1425560400
239,Clear,5.4858880043,0.39,35.7090259,139.7319925,"Tokyo,Japan",1021.6,45.19,1425564000
240,Clear,5.4858880043,0.4,35.7090259,139.7319925,"Tokyo,Japan",1012.6,40.57,1426086000
241,Clear,5.4858880043,0.43,35.7090259,139.7319925,"Tokyo,Japan",1012.5,39.38,1426089600
242,Clear,5.4858880043,0.41,35.7090259,139.7319925,"Tokyo,Japan",1012.3,40.19,1426093200
243,Clear,5.4858880043,0.44,35.7090259,139.7319925,"Tokyo,Japan",1011.7,39.38,1426096800
244,Clear,5.4858880043,0.44,35.7090259,139.7319925,"Tokyo,Japan",1011.2,39.38,1426100400
245,Clear,5.4858880043,0.42,35.7090259,139.7319925,"Tokyo,Japan",1011.2,40.19,1426104000
246,Partly Cloudy,5.4858880043,0.42,35.7090259,139.7319925,"Tokyo,Japan",1010.9,40.19,1426107600
247,Clear,5.4858880043,0.42,35.7090259,139.7319925,"Tokyo,Japan",1011.1,42.57,1426111200
248,Clear,5.4858880043,0.37,35.7090259,139.7319925,"Tokyo,Japan",1011.3,46.26,1426114800
249,Mostly Cloudy,5.4858880043,0.31,35.7090259,139.7319925,"Tokyo,Japan",1011.1,47.61,1426118400
250,Clear,5.4858880043,0.28,35.7090259,139.7319925,"Tokyo,Japan",1010.7,50.4,1426122000
251,Clear,5.4858880043,0.24,35.7090259,139.7319925,"Tokyo,Japan",1010.1,53.25,1426125600
252,Partly Cloudy,5.4858880043,0.25,35.7090259,139.7319925,"Tokyo,Japan",1009.4,53.3,1426129200
253,Clear,5.4858880043,0.28,35.7090259,139.7319925,"Tokyo,Japan",1008.3,54.78,1426132800
